role,os_type,os_version,hostname_pattern,business_function,department,open_ports,running_services,installed_roles,installed_software
Web Server,Windows Server,Windows Server 2022,SRV,Internal Applications,IT,"[80, 443, 3389]","[""Apache"", ""HTTP""]","[""IIS""]","[""IIS Management Console""]"
Web Server,Windows Server,Windows Server 2022,SRV,Internal Applications,IT,[443],"[""IIS"", ""W3SVC""]","[""Web Server"", ""IIS""]","[""Apache2""]"
Web Server,Windows Server,Windows Server 2019,SRV,Internal Applications,Operations,[443],"[""Apache"", ""HTTP"", ""HTTPS""]","[""IIS"", ""Remote Administration""]","[""Nginx""]"
Web Server,Windows Server,Windows Server 2016,SRV,Public Website,Operations,"[80, 443]","[""IIS"", ""W3SVC"", ""Event Log"", ""RDP"", ""HTTPS""]","[""Web Server""]","[""Nginx"", ""PowerShell""]"
Web Server,Windows Server,Windows Server 2016,SRV,Web Hosting,Operations,"[80, 443]","[""IIS"", ""W3SVC"", ""Event Log"", ""HTTPS""]","[""Web Server""]","[""Nginx""]"
Web Server,Windows Server,Windows Server 2019,SRV,Web Hosting,IT,"[80, 443]","[""Nginx"", ""HTTPS""]","[""IIS"", ""Management Tools"", ""Remote Administration""]","[""Apache2"", ""Backup Agent"", ""PowerShell""]"
Web Server,Windows Server,Windows Server 2022,SRV,Internal Applications,Marketing,[443],"[""Nginx"", ""HTTPS""]","[""Web Server"", ""IIS""]","[""Nginx""]"
Web Server,Windows Server,Windows Server 2019,SRV,Web Hosting,Operations,[443],"[""Nginx"", ""HTTPS""]","[""Web Server"", ""Remote Administration"", ""Management Tools""]","[""IIS Management Console"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Finance,[3306],"[""MySQL""]","[""Database Server""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Operations,[1433],"[""SQL Server""]","[""SQL Services"", ""Remote Administration"", ""Management Tools""]","[""Microsoft SQL Server"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[1433],"[""SQL Server"", ""Monitoring Service""]","[""Database Server""]","[""MySQL Server"", ""PowerShell"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[1521],"[""PostgreSQL"", ""Event Log""]","[""Database Server""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,IT,[1521],"[""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Finance,[1521],"[""MySQL""]","[""Database Server""]","[""PostgreSQL"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Operations,[1521],"[""SQL Server""]","[""Database Server""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[3306],"[""PostgreSQL""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,IT,[3306],"[""SQL Server""]","[""SQL Services"", ""Remote Administration"", ""Management Tools""]","[""Oracle Client"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,IT,[1521],"[""PostgreSQL""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Operations,[1433],"[""PostgreSQL"", ""SQL Server""]","[""SQL Services""]","[""MySQL Server"", ""PowerShell""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Operations,[1521],"[""SQL Server""]","[""SQL Services""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Operations,[1433],"[""PostgreSQL"", ""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Operations,[3306],"[""MySQL""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,IT,[3306],"[""MySQL"", ""Event Log""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,IT,[1521],"[""MySQL"", ""Monitoring Service""]","[""SQL Services""]","[""Oracle Client"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Finance,[3306],"[""PostgreSQL"", ""RDP"", ""Monitoring Service""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,IT,[1433],"[""Oracle Database"", ""SQL Server""]","[""Database Server""]","[""Microsoft SQL Server"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Finance,[5432],"[""Oracle Database""]","[""SQL Services""]","[""MySQL Server"", ""AV Scanner"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,IT,[1433],"[""MySQL"", ""SQL Server""]","[""Database Server""]","[""PostgreSQL"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,IT,[1433],"[""PostgreSQL"", ""SQL Server""]","[""Database Server""]","[""MySQL Server"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,Operations,[1521],"[""MySQL"", ""WinRM""]","[""SQL Services""]","[""Oracle Client"", ""Monitoring Agent"", ""PowerShell""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Finance,[3306],"[""MySQL""]","[""SQL Services""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Finance,[5432],"[""Oracle Database"", ""RDP"", ""WinRM""]","[""SQL Services"", ""Remote Administration""]","[""MySQL Server"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Operations,[1433],"[""Oracle Database"", ""RDP"", ""Monitoring Service"", ""SQL Server""]","[""SQL Services"", ""Remote Administration""]","[""PostgreSQL"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[5432],"[""MySQL"", ""Monitoring Service"", ""RDP""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Finance,[3306],"[""MySQL"", ""RDP"", ""Event Log""]","[""SQL Services""]","[""PostgreSQL"", ""PowerShell"", ""Endpoint Protection""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Operations,[3306],"[""MySQL""]","[""Database Server""]","[""Microsoft SQL Server"", ""PowerShell"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Finance,[1521],"[""Oracle Database""]","[""Database Server""]","[""MySQL Server"", ""PowerShell""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,IT,[3306],"[""PostgreSQL"", ""WinRM""]","[""SQL Services""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Finance,[1433],"[""Oracle Database"", ""SQL Server""]","[""Database Server""]","[""Oracle Client"", ""PowerShell"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[1433],"[""Oracle Database"", ""SQL Server""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Finance,[3306],"[""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,IT,[1433],"[""Oracle Database"", ""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Finance,[3306],"[""MySQL""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[3306],"[""PostgreSQL""]","[""SQL Services""]","[""Oracle Client"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Operations,[1433],"[""Oracle Database"", ""SQL Server""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,IT,[1521],"[""SQL Server"", ""Event Log""]","[""Database Server"", ""Management Tools"", ""Remote Administration""]","[""Oracle Client"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Operations,[1521],"[""MySQL""]","[""SQL Services""]","[""Microsoft SQL Server"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,Finance,[5432],"[""Oracle Database""]","[""SQL Services""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Operations,[3306],"[""PostgreSQL"", ""Event Log"", ""WinRM""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Finance,[5432],"[""MySQL""]","[""Database Server"", ""Management Tools""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Operations,[3306],"[""MySQL""]","[""Database Server""]","[""PostgreSQL"", ""AV Scanner"", ""Endpoint Protection""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,IT,[1433],"[""Oracle Database"", ""SQL Server""]","[""Database Server""]","[""PostgreSQL"", ""PowerShell"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Finance,[3306],"[""Oracle Database"", ""Monitoring Service""]","[""Database Server"", ""Remote Administration""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Operations,[1433],"[""PostgreSQL"", ""RDP"", ""SQL Server""]","[""SQL Services"", ""Remote Administration""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Operations,[5432],"[""SQL Server""]","[""SQL Services""]","[""Oracle Client"", ""Monitoring Agent"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Operations,[1521],"[""SQL Server"", ""Monitoring Service"", ""RDP""]","[""SQL Services"", ""Remote Administration"", ""Management Tools""]","[""Microsoft SQL Server"", ""Backup Agent"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Finance,[1521],"[""SQL Server"", ""Monitoring Service"", ""WinRM""]","[""SQL Services""]","[""MySQL Server"", ""Sysmon"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Operations,[5432],"[""Oracle Database""]","[""SQL Services"", ""Management Tools""]","[""PostgreSQL"", ""Monitoring Agent"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Operations,[3306],"[""SQL Server"", ""Monitoring Service"", ""WinRM""]","[""SQL Services""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Operations,[1433],"[""PostgreSQL"", ""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Operations,[3306],"[""PostgreSQL"", ""Event Log"", ""RDP""]","[""SQL Services"", ""Management Tools"", ""Remote Administration""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Finance,[5432],"[""PostgreSQL""]","[""SQL Services""]","[""PostgreSQL"", ""Endpoint Protection"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,Operations,[5432],"[""Oracle Database""]","[""Database Server"", ""Management Tools""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Finance,[1433],"[""Oracle Database"", ""SQL Server""]","[""Database Server"", ""Management Tools""]","[""Oracle Client"", ""Endpoint Protection"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Operations,[3306],"[""PostgreSQL"", ""RDP""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,IT,[3306],"[""SQL Server""]","[""Database Server"", ""Remote Administration"", ""Management Tools""]","[""MySQL Server"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,IT,[1433],"[""PostgreSQL"", ""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Finance,[5432],"[""SQL Server"", ""Event Log"", ""RDP""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Finance,[1433],"[""MySQL"", ""SQL Server""]","[""SQL Services"", ""Management Tools""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[3306],"[""Oracle Database""]","[""Database Server"", ""Remote Administration"", ""Management Tools""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Operations,[1433],"[""Oracle Database"", ""Monitoring Service"", ""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server"", ""Monitoring Agent"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Finance,[5432],"[""Oracle Database"", ""Event Log"", ""RDP""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,IT,[1521],"[""SQL Server""]","[""Database Server"", ""Remote Administration"", ""Management Tools""]","[""MySQL Server"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,Operations,[1433],"[""MySQL"", ""SQL Server""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[1521],"[""Oracle Database""]","[""SQL Services"", ""Management Tools"", ""Remote Administration""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,IT,[1433],"[""SQL Server""]","[""Database Server""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Finance,[5432],"[""MySQL"", ""WinRM""]","[""SQL Services""]","[""MySQL Server"", ""Backup Agent"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Operations,[1433],"[""SQL Server""]","[""Database Server""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,IT,[1433],"[""MySQL"", ""SQL Server""]","[""SQL Services""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Finance,[1521],"[""Oracle Database""]","[""SQL Services""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,IT,[1521],"[""PostgreSQL""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,IT,[1433],"[""SQL Server"", ""Event Log"", ""Monitoring Service""]","[""Database Server""]","[""PostgreSQL"", ""Sysmon"", ""PowerShell""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,IT,[3306],"[""MySQL"", ""WinRM"", ""Event Log""]","[""Database Server""]","[""Microsoft SQL Server"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Operations,[1521],"[""Oracle Database"", ""WinRM"", ""RDP""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Finance,[3306],"[""PostgreSQL""]","[""SQL Services"", ""Remote Administration"", ""Management Tools""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,IT,[5432],"[""PostgreSQL"", ""RDP"", ""Event Log""]","[""Database Server""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Finance,[1521],"[""Oracle Database"", ""Event Log""]","[""SQL Services""]","[""PostgreSQL"", ""Sysmon"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Finance,[3306],"[""SQL Server""]","[""Database Server""]","[""MySQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[1521],"[""SQL Server""]","[""SQL Services""]","[""MySQL Server"", ""Backup Agent"", ""PowerShell""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Finance,[3306],"[""Oracle Database"", ""RDP"", ""Monitoring Service""]","[""Database Server""]","[""Microsoft SQL Server"", ""Endpoint Protection""]"
Database Server,Windows Server,Windows Server 2019,SRV,Application Data,Operations,[1521],"[""Oracle Database""]","[""Database Server"", ""Management Tools"", ""Remote Administration""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2019,SRV,Transactional Storage,Finance,[3306],"[""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Finance,[5432],"[""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server"", ""Endpoint Protection""]"
Database Server,Windows Server,Windows Server 2016,SRV,Transactional Storage,Finance,[1433],"[""PostgreSQL"", ""SQL Server""]","[""Database Server"", ""Remote Administration""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Finance,[3306],"[""Oracle Database"", ""RDP""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2022,SRV,Database Services,Operations,[5432],"[""SQL Server"", ""Monitoring Service"", ""Event Log""]","[""Database Server""]","[""MySQL Server"", ""Sysmon"", ""Monitoring Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[1433],"[""MySQL"", ""Event Log"", ""Monitoring Service"", ""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Operations,[1433],"[""Oracle Database"", ""SQL Server""]","[""SQL Services""]","[""MySQL Server"", ""Backup Agent""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Finance,[1521],"[""SQL Server"", ""Monitoring Service""]","[""SQL Services""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Finance,[5432],"[""SQL Server""]","[""SQL Services""]","[""Microsoft SQL Server""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,IT,[1521],"[""MySQL"", ""Event Log""]","[""SQL Services""]","[""Microsoft SQL Server"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Operations,[1521],"[""Oracle Database""]","[""Database Server""]","[""PostgreSQL""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Operations,[5432],"[""MySQL""]","[""SQL Services""]","[""MySQL Server"", ""AV Scanner""]"
Database Server,Windows Server,Windows Server 2022,SRV,Transactional Storage,Finance,[3306],"[""SQL Server""]","[""Database Server""]","[""MySQL Server"", ""AV Scanner"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2016,SRV,Database Services,Operations,[3306],"[""SQL Server"", ""Monitoring Service"", ""Event Log""]","[""SQL Services"", ""Management Tools""]","[""PostgreSQL"", ""Backup Agent"", ""Endpoint Protection""]"
Database Server,Windows Server,Windows Server 2019,SRV,Database Services,Finance,[3306],"[""PostgreSQL""]","[""Database Server""]","[""Oracle Client""]"
Database Server,Windows Server,Windows Server 2016,SRV,Application Data,Operations,[3306],"[""Oracle Database""]","[""SQL Services""]","[""Oracle Client"", ""Endpoint Protection"", ""Sysmon""]"
Database Server,Windows Server,Windows Server 2022,SRV,Application Data,Finance,[3306],"[""Oracle Database""]","[""SQL Services"", ""Management Tools""]","[""PostgreSQL""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Messaging,IT,"[25, 587, 993]","[""Exchange"", ""SMTP"", ""SMTP""]","[""Messaging Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Corporate Communications,IT,"[25, 110, 143]","[""SMTP"", ""IMAP"", ""IMAP""]","[""Messaging Server""]","[""Microsoft Exchange"", ""Endpoint Protection"", ""Sysmon""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Messaging,Infrastructure,"[25, 465, 587, 993]","[""Exchange"", ""SMTP""]","[""Messaging Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Corporate Communications,Infrastructure,"[25, 110, 143]","[""SMTP"", ""IMAP"", ""RDP"", ""Event Log""]","[""Messaging Server"", ""Management Tools""]","[""Microsoft Exchange"", ""Sysmon"", ""Endpoint Protection""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,Infrastructure,"[25, 587, 993]","[""Exchange"", ""SMTP""]","[""Messaging Server""]","[""Microsoft Exchange""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Messaging,IT,"[25, 587, 993]","[""Exchange"", ""SMTP"", ""Event Log""]","[""Mail Server""]","[""Microsoft Exchange""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,IT,"[25, 110, 143]","[""Mail Transfer Agent"", ""SMTP"", ""WinRM"", ""RDP"", ""POP3""]","[""Mail Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Email Infrastructure,IT,"[25, 110, 143]","[""Mail Transfer Agent"", ""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Corporate Communications,Infrastructure,"[25, 110, 143]","[""Mail Transfer Agent"", ""SMTP""]","[""Mail Server"", ""Remote Administration""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Corporate Communications,Infrastructure,"[25, 587, 993]","[""Exchange"", ""SMTP"", ""Monitoring Service"", ""SMTP""]","[""Mail Server"", ""Management Tools""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Email Infrastructure,Infrastructure,"[25, 110, 143]","[""Exchange"", ""SMTP""]","[""Messaging Server""]","[""Mail Gateway Connector"", ""Sysmon""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Messaging,Infrastructure,"[25, 110, 143]","[""Exchange"", ""SMTP"", ""SMTP""]","[""Messaging Server"", ""Remote Administration"", ""Management Tools""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Messaging,IT,"[25, 465, 587, 993]","[""Mail Transfer Agent"", ""SMTP"", ""POP3""]","[""Messaging Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Messaging,Infrastructure,"[25, 587, 993]","[""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Email Infrastructure,IT,"[25, 465, 587, 993]","[""SMTP"", ""IMAP""]","[""Messaging Server"", ""Remote Administration"", ""Management Tools""]","[""Mail Gateway Connector"", ""Monitoring Agent""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,IT,"[25, 110, 143]","[""SMTP"", ""IMAP"", ""Event Log"", ""Monitoring Service"", ""IMAP""]","[""Messaging Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Email Infrastructure,IT,"[25, 465, 587, 993]","[""Mail Transfer Agent"", ""SMTP"", ""Monitoring Service""]","[""Mail Server"", ""Management Tools""]","[""Microsoft Exchange""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Corporate Communications,Infrastructure,"[25, 110, 143]","[""Mail Transfer Agent"", ""SMTP""]","[""Messaging Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Email Infrastructure,IT,"[25, 587, 993]","[""SMTP"", ""IMAP"", ""RDP""]","[""Mail Server"", ""Management Tools""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Email Infrastructure,IT,"[25, 110, 143]","[""Exchange"", ""SMTP"", ""WinRM"", ""Monitoring Service""]","[""Mail Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,Infrastructure,"[25, 465, 587, 993]","[""SMTP"", ""IMAP"", ""WinRM"", ""RDP""]","[""Mail Server"", ""Remote Administration"", ""Management Tools""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,Infrastructure,"[25, 110, 143]","[""Exchange"", ""SMTP""]","[""Messaging Server"", ""Management Tools""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Corporate Communications,Infrastructure,"[25, 110, 143]","[""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Exchange Admin Tools"", ""PowerShell"", ""Endpoint Protection""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,IT,"[25, 465, 587, 993]","[""Mail Transfer Agent"", ""SMTP"", ""RDP"", ""Monitoring Service"", ""POP3""]","[""Messaging Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Corporate Communications,IT,"[25, 110, 143]","[""Mail Transfer Agent"", ""SMTP""]","[""Messaging Server"", ""Management Tools""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Messaging,IT,"[25, 587, 993]","[""Mail Transfer Agent"", ""SMTP"", ""Event Log"", ""IMAP""]","[""Messaging Server""]","[""Microsoft Exchange"", ""Monitoring Agent""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Email Infrastructure,IT,"[25, 465, 587, 993]","[""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Microsoft Exchange""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Corporate Communications,IT,"[25, 465, 587, 993]","[""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Microsoft Exchange""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Email Infrastructure,IT,"[25, 465, 587, 993]","[""SMTP"", ""IMAP"", ""RDP"", ""POP3""]","[""Messaging Server"", ""Remote Administration"", ""Management Tools""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2019,SRV,Email Infrastructure,IT,"[25, 587, 993]","[""Exchange"", ""SMTP"", ""SMTP""]","[""Mail Server"", ""Remote Administration"", ""Management Tools""]","[""Mail Gateway Connector"", ""Sysmon"", ""Backup Agent""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Email Infrastructure,Infrastructure,"[25, 587, 993]","[""SMTP"", ""IMAP""]","[""Messaging Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Messaging,IT,"[25, 110, 143]","[""SMTP"", ""IMAP""]","[""Mail Server"", ""Remote Administration"", ""Management Tools""]","[""Exchange Admin Tools"", ""PowerShell""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Corporate Communications,IT,"[25, 465, 587, 993]","[""Mail Transfer Agent"", ""SMTP""]","[""Messaging Server""]","[""Mail Gateway Connector""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Corporate Communications,Infrastructure,"[25, 110, 143]","[""SMTP"", ""IMAP""]","[""Mail Server""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Corporate Communications,Infrastructure,"[25, 465, 587, 993]","[""Exchange"", ""SMTP""]","[""Messaging Server""]","[""Exchange Admin Tools"", ""Backup Agent"", ""Endpoint Protection""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Messaging,IT,"[25, 587, 993]","[""Mail Transfer Agent"", ""SMTP""]","[""Messaging Server""]","[""Microsoft Exchange"", ""Endpoint Protection"", ""Sysmon""]"
Mail Server,Windows Server,Windows Server 2022,SRV,Email Infrastructure,IT,"[25, 110, 143]","[""Exchange"", ""SMTP"", ""POP3""]","[""Messaging Server"", ""Remote Administration""]","[""Exchange Admin Tools""]"
Mail Server,Windows Server,Windows Server 2016,SRV,Corporate Communications,IT,"[25, 110, 143]","[""Exchange"", ""SMTP"", ""Monitoring Service"", ""POP3""]","[""Mail Server"", ""Remote Administration""]","[""Exchange Admin Tools"", ""Backup Agent"", ""Monitoring Agent""]"
